DHSCLUST,goes_out,neglect_children,Urgues,Refuse_sex,Burns_Food,Overall
11,0,0,0,0,0,
11,0,0,1,1,0,
11,0,0,0,0,0,
11,1,1,1,1,0,
11,0,0,0,0,0,
11,0,0,0,0,0,
11,0,0,0,0,0,
11,0,1,0,0,0,
11,0,0,0,0,0,
11,0,0,0,0,0,
11,0,0,0,0,0,
11,0,1,0,0,0,
11,1,0,0,0,0,
11,0,0,0,0,0,
11,0,0,0,0,0,
11,1,1,1,1,0,
11,1,1,1,1,1,
11,1,1,1,1,0,
11,1,1,0,0,0,
11,1,1,0,0,0,
11,0,0,0,0,0,
11,1,1,1,1,1,
11,0,0,0,0,0,
11,0,0,0,0,0,
11,0,0,0,0,0,
11,0,1,1,1,1,
11,1,1,0,1,1,
12,0,0,0,0,0,
12,0,1,1,1,0,
12,0,0,0,1,0,
12,0,0,0,0,0,
12,0,0,0,0,0,
12,0,0,0,0,0,
12,0,0,0,0,1,
12,0,0,0,0,0,
12,0,1,0,0,0,
12,1,1,1,0,0,
12,0,0,0,0,0,
12,0,0,0,0,0,
12,0,0,0,0,0,
12,0,0,1,0,0,
12,1,0,1,0,0,
12,1,0,0,0,0,
13,0,0,0,0,0,
13,0,0,0,0,0,
13,0,0,0,0,0,
13,0,0,0,0,0,
13,0,0,0,0,0,
13,0,0,0,0,0,
13,0,0,0,0,0,
13,0,0,0,0,0,
13,0,1,0,0,1,
13,0,0,0,0,0,
13,0,0,0,0,0,
14,0,0,0,0,0,
14,0,0,0,0,0,
14,1,1,1,1,1,
14,0,0,0,1,0,
14,0,0,0,0,0,
14,0,0,0,0,0,
14,0,0,0,1,0,
14,0,0,0,0,0,
14,0,0,0,0,0,
14,1,1,1,1,1,
14,0,0,0,0,0,
14,1,1,8,0,0,
14,0,0,0,0,0,
14,0,0,0,0,0,
14,0,0,0,0,0,
14,0,0,0,0,0,
14,0,0,0,0,0,
14,0,0,0,0,0,
15,0,0,0,0,0,
15,1,1,1,1,0,
15,0,0,0,0,0,
15,0,0,0,0,0,
15,1,1,0,0,0,
15,0,0,0,0,0,
15,0,0,0,0,0,
15,0,0,0,0,0,
15,1,0,1,0,0,
15,0,0,0,0,0,
15,0,0,1,0,0,
15,1,1,1,0,0,
15,0,0,0,0,0,
15,0,0,0,0,0,
15,0,1,0,0,0,
16,0,0,0,0,0,
16,1,1,1,0,1,
16,0,0,0,0,0,
16,0,0,0,1,0,
16,1,0,1,1,0,
16,0,0,0,0,0,
16,0,0,0,1,1,
16,0,0,0,0,0,
16,0,1,0,0,0,
16,0,0,0,0,0,
16,0,0,0,0,0,
16,0,0,0,0,1,
16,0,1,1,0,0,
16,0,0,0,0,0,
16,1,1,1,1,0,
16,0,0,0,0,0,
16,1,0,0,0,0,
16,0,0,0,0,0,
16,0,0,0,0,0,
16,0,0,0,0,0,
16,0,1,1,0,0,
16,0,0,0,0,0,
16,0,0,0,0,0,
17,0,0,0,0,0,
17,0,0,0,0,0,
17,1,1,1,1,0,
17,0,0,0,0,0,
17,1,1,1,1,1,
17,0,0,0,0,0,
17,0,0,0,0,0,
17,0,1,0,0,0,
17,0,1,0,1,0,
17,0,0,0,0,0,
17,0,0,0,0,0,
17,0,0,0,0,0,
17,0,0,0,0,0,
17,1,1,0,1,0,
17,1,1,1,1,0,
17,0,0,0,0,0,
17,1,1,1,0,1,
17,1,1,1,1,0,
17,0,0,1,0,0,
17,1,1,1,1,1,
17,1,1,1,1,0,
17,0,0,0,0,0,
17,1,0,0,0,0,
17,0,0,0,0,0,
17,0,0,0,1,0,
18,1,1,1,0,0,
18,1,1,1,0,1,
18,0,0,0,0,0,
18,0,0,0,0,1,
18,1,1,1,1,1,
18,0,0,0,0,0,
18,1,1,0,0,0,
18,0,0,0,0,0,
18,0,0,0,0,0,
18,1,1,1,1,1,
18,0,0,0,0,0,
18,0,0,0,0,0,
18,0,0,0,0,0,
18,0,0,0,0,0,
18,1,0,8,0,0,
18,0,0,0,0,0,
18,1,1,1,0,1,
18,0,1,1,0,0,
18,0,1,0,0,0,
18,0,0,0,0,0,
18,0,1,0,1,0,
18,0,0,0,0,0,
18,0,1,1,0,1,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
19,0,0,0,0,0,
20,0,0,0,0,0,
20,0,0,0,0,0,
20,0,0,0,0,0,
20,0,1,0,0,0,
20,0,0,0,0,0,
20,1,1,0,0,0,
20,1,1,1,0,0,
20,0,0,0,0,0,
20,0,0,0,0,0,
20,1,1,0,0,0,
20,0,0,0,0,0,
20,1,1,0,1,0,
20,1,1,1,1,0,
20,0,0,0,0,0,
20,1,1,0,1,0,
20,0,0,0,0,0,
20,0,0,0,0,0,
20,0,0,0,0,0,
20,0,0,0,0,0,
20,0,0,0,0,0,
20,0,0,0,0,0,
20,1,1,0,0,0,
20,8,8,8,8,0,
21,1,1,1,1,1,
21,0,0,0,0,0,
21,0,0,0,0,0,
21,0,0,0,0,0,
21,1,1,1,1,1,
21,0,0,1,0,0,
21,0,0,0,0,0,
21,0,0,0,0,0,
21,0,0,0,0,0,
21,1,1,1,1,1,
21,0,0,1,0,0,
21,0,0,0,0,0,
21,1,0,0,0,0,
21,0,0,0,0,0,
21,0,0,1,0,0,
21,1,1,1,1,1,
21,0,0,0,0,0,
21,0,0,0,0,0,
21,0,0,0,1,1,
21,0,0,0,0,0,
21,0,1,1,1,1,
21,1,1,1,1,1,
21,1,1,1,1,1,
21,0,0,0,0,0,
21,1,1,1,0,1,
21,0,0,0,0,0,
21,0,0,0,0,0,
21,0,1,0,0,0,
21,0,0,0,0,0,
21,0,0,0,0,0,
21,1,1,0,0,1,
21,0,0,0,0,0,
21,0,0,0,0,0,
21,1,1,1,0,0,
21,0,0,0,0,1,
21,0,0,0,0,0,
21,1,1,1,1,1,
21,1,1,1,1,1,
21,0,0,0,1,1,
21,0,0,0,0,0,
22,1,1,1,1,1,
22,0,0,0,0,0,
22,0,0,0,0,0,
22,1,1,1,1,1,
22,0,0,0,1,0,
22,1,1,1,1,0,
22,0,0,0,0,0,
22,0,0,0,0,0,
22,0,0,0,0,0,
22,1,1,1,1,1,
22,0,0,1,0,0,
22,1,0,0,0,0,
22,0,0,0,0,0,
22,1,1,0,1,0,
22,0,0,0,0,0,
22,1,1,1,1,1,
22,0,0,0,1,0,
22,0,0,0,0,0,
22,0,0,0,0,0,
22,0,0,0,0,0,
22,1,1,1,1,0,
23,0,0,0,0,0,
23,0,0,0,0,0,
23,1,1,1,0,0,
23,1,1,1,1,1,
23,0,0,0,0,0,
23,0,1,0,0,0,
23,0,0,1,0,0,
23,0,0,0,0,0,
23,0,0,0,0,0,
23,0,0,0,0,0,
23,0,1,0,0,0,
23,0,0,0,0,0,
23,0,0,0,0,0,
23,0,0,0,0,0,
23,0,0,0,0,0,
23,0,0,0,0,0,
23,0,0,0,0,0,
24,0,0,0,0,0,
24,1,1,1,1,1,
24,0,0,0,0,0,
24,0,0,0,0,0,
24,0,0,0,0,0,
24,0,1,0,0,0,
24,1,1,0,0,0,
24,1,1,1,0,0,
24,0,0,0,0,0,
24,1,1,1,1,1,
24,1,1,1,0,0,
24,0,0,0,0,0,
24,0,0,0,0,0,
24,0,0,0,0,0,
24,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,1,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,8,8,8,8,8,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
25,0,0,0,0,0,
26,1,1,1,0,0,
26,1,1,0,0,0,
26,1,1,1,0,0,
26,0,0,0,0,0,
26,0,0,0,0,0,
26,0,1,1,0,0,
26,0,0,0,0,0,
26,0,1,1,1,1,
26,0,0,0,0,0,
26,1,1,0,0,0,
26,0,0,8,0,0,
26,1,1,0,0,0,
26,0,0,0,0,0,
26,0,1,1,0,0,
27,1,1,1,1,1,
27,1,1,0,0,0,
27,0,0,1,1,0,
27,0,0,1,1,0,
27,1,1,1,1,1,
27,0,0,0,0,0,
27,0,0,0,1,0,
27,0,0,1,1,1,
27,1,1,1,1,0,
27,8,0,0,8,0,
27,0,1,1,1,0,
27,0,0,0,0,0,
27,1,1,1,0,0,
27,0,0,0,0,0,
27,1,1,1,1,1,
27,1,0,0,0,0,
27,1,1,1,1,1,
27,1,1,1,0,0,
27,1,1,1,1,1,
27,1,1,1,1,0,
27,0,0,0,0,0,
27,0,1,1,0,0,
27,1,1,1,1,1,
27,0,0,0,0,0,
27,0,1,1,1,0,
27,0,0,0,0,0,
27,0,0,0,0,0,
27,0,0,0,0,0,
27,0,0,0,0,0,
27,1,1,1,1,1,
27,1,1,1,1,1,
27,1,1,1,1,1,
27,1,1,1,1,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,1,1,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
28,0,0,0,0,0,
29,0,0,0,0,0,
