DHSCLUST,goes_out,neglect_children,Urgues,Refuse_sex,Burns_Food,Overall
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,1,1,0,,0,1
6,0,0,0,0,0,0
6,,,,,,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,1,0,0,1,0,1
6,0,0,0,0,0,0
6,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,1,0,0,0,1
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,0,0,1,0,0,1
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,0,0,1,1,0,1
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,1,0,0,1,0,1
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,0,0,0,0,0,0
7,0,0,0,1,0,1
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,1,1,0,0,1
,0,1,0,0,0,1
,0,0,0,0,0,0
,1,1,0,0,0,1
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,1,0,0,0,0,1
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
9,0,0,0,0,0,0
10,1,1,1,0,0,1
10,0,1,1,1,0,1
10,1,1,1,1,1,1
10,0,1,0,1,1,1
10,1,1,1,1,1,1
10,1,1,1,0,1,1
10,0,0,0,0,0,0
10,0,0,0,0,0,0
10,1,1,1,1,1,1
10,0,0,0,0,0,0
10,1,0,0,1,0,1
10,1,1,1,1,1,1
10,1,1,1,1,1,1
10,1,1,1,1,,1
10,1,1,1,1,1,1
10,0,0,0,0,0,0
10,0,0,0,0,0,0
10,1,1,1,0,1,1
10,0,0,0,0,0,0
10,1,1,1,1,1,1
